,0,1
0,MMM,15508.818862541517
1,ABT,1476.0047354641285
2,ATVI,2363.0633976059285
3,ADBE,30746.62890273363
4,AMD,158.45208650691896
5,AES,10.513163596835051
6,AFL,541.7062212029754
7,APD,10541.521426507856
8,ALK,3838.6303058062235
9,AGN,23295.669826426747
10,LNT,683.9280157545571
11,ALL,3263.183373934884
12,MO,624.8027550992442
13,AEP,1513.364410008833
14,AXP,2442.880970757187
15,AIG,504392.43737846264
16,AME,2974.228821939414
17,AMGN,14060.902011455299
18,APH,4174.510890092784
19,ADI,3178.597377162992
20,AON,11957.349623750864
21,AOS,1883.8101258917527
22,APA,571.9519559120148
23,AAPL,21850.693241339028
24,AMAT,669.1592385789709
25,ADM,513.3576497846996
26,AJG,2128.7429875687826
27,T,24.60284220260041
28,ADSK,9579.192598108039
29,ADP,7790.386748079238
30,AZO,446470.7775077151
31,AVY,4783.003458847724
32,BLL,1424.718647502083
33,BAC,31.971641597758325
34,BK,499.01623802662283
35,BAX,2348.735335765071
36,BDX,25733.939423844768
37,BBY,1453.8037326547533
38,BIIB,42658.000549447584
39,HRB,103.83555476829628
40,BA,53238.5661689866
41,BWA,1442.3072719488534
42,BSX,410.81553691819875
43,BMY,619.8573358356192
44,COG,328.99025603495573
45,CDNS,1244.7136671482742
46,CPB,711.6610961164156
47,CAH,228.41826898623756
48,CCL,554.7084512488036
49,CAT,5697.919085427354
50,CNP,65.095660692651
51,CTL,85.10681295043295
52,CERN,2462.3843913541505
53,SCHW,563.9484053994674
54,CHK,7652470.88213864
55,CVX,3020.295168953909
56,CB,8274.342292641137
57,CHD,1823.738292821968
58,CI,23871.0367181451
59,CINF,2784.447482853724
60,CTAS,19038.62710345368
61,CSCO,361.74040197405395
62,C,6921.653940477732
63,CLX,7838.940385333358
64,CMS,1205.6222456241173
65,KO,567.9781018452228
66,CL,1427.454603149735
67,CMCSA,783.8437046944773
68,CMA,1392.0021938105438
69,CAG,213.49932408637264
70,COP,965.265732097246
71,ED,1633.6545301730953
72,STZ,26270.91019818232
73,COO,41790.02866190448
74,GLW,196.9580104628356
75,COST,21694.020315437643
76,CSX,2238.4153587670335
77,CMI,12556.245128847495
78,CVS,2523.4843026542967
79,DHI,918.7871587451726
80,DHR,6569.764769817632
81,DE,9195.12576114424
82,XRAY,691.771603172422
83,DVN,64.41293840352324
84,D,2253.8800345013383
85,DOV,2742.967711120792
86,DTE,3880.7819962761628
87,DRE,227.5601596862893
88,DUK,899.2865899352456
89,DXC,1949.2756034580416
90,EMN,2474.791698142648
91,ETN,2092.0757755488235
92,ECL,13828.742282276555
93,EIX,882.8522166689457
94,EA,5784.911739015199
95,EMR,735.5944749953275
96,ETR,1363.847094738722
97,EOG,3909.5101120994896
98,EQT,190.7798992182983
99,EFX,8549.845523851067
100,EQR,1611.3131196397794
101,ES,2014.6558564959214
