,0,1
0,MMM,19930.187998147776
1,ABT,1812.6400422894392
2,ATVI,2267.9771430916826
3,ADBE,30921.47133601961
4,AMD,144.39562359852067
5,AES,5.455716253798855
6,AFL,696.2314370805386
7,APD,14468.931778508317
8,ALK,2966.8657233696813
9,AGN,23874.46588890729
10,LNT,779.2170082633908
11,ALL,3423.700827824483
12,MO,688.391153817193
13,AEP,1245.5558596804556
14,AXP,601.4622542152514
15,AIG,676431.2129200122
16,AME,2799.5962719311697
17,AMGN,18869.580863560557
18,APH,3875.054727757487
19,ADI,2064.441314255357
20,AON,10751.17825408806
21,AOS,2284.031496938041
22,APA,162.51054386536396
23,AAPL,22848.753342957083
24,AMAT,753.1927577521612
25,ADM,503.585356049333
26,AJG,2296.1335790490693
27,T,56.877146043282096
28,ADSK,9150.751522501288
29,ADP,7946.488930213229
30,AZO,420651.532329878
31,AVY,2717.219990125094
32,BLL,1131.946989829277
33,BAC,35.497353989690374
34,BK,318.8849613493421
35,BAX,2151.0937150871882
36,BDX,24913.572465937967
37,BBY,1017.5438442134589
38,BIIB,53759.475639358345
39,HRB,56.71250609159192
40,BA,51615.98274432752
41,BWA,703.7737435195332
42,BSX,264.0550327416127
43,BMY,580.3666072676871
44,COG,244.41789674787145
45,CDNS,1059.1391422514912
46,CPB,492.3275919013986
47,CAH,415.69947563916605
48,CCL,542.9015066580732
49,CAT,4751.084670653703
50,CNP,163.56988443532003
51,CTL,200.4477698711563
52,CERN,1987.0791860136133
53,SCHW,628.8456927873843
54,CHK,6061370.215662792
55,CVX,3835.032903744704
56,CB,8065.411703246513
57,CHD,2086.3567434465112
58,CI,18322.913361541785
59,CINF,2140.657171363806
60,CTAS,22570.09667282204
61,CSCO,680.3369048283987
62,C,21475.157097892825
63,CLX,4399.47037433888
64,CMS,858.9772032611197
65,KO,269.48002992799724
66,CL,1845.4990128729057
67,CMCSA,553.382822198071
68,CMA,1755.3767462751225
69,CAG,454.7016725872995
70,COP,725.6828296912689
71,ED,1338.5939435681614
72,STZ,26431.72426275647
73,COO,36810.74776726158
74,GLW,145.530040128243
75,COST,22350.657091873385
76,CSX,2049.4320076703457
77,CMI,14970.932496305872
78,CVS,1993.243204694922
79,DHI,788.6688376224894
80,DHR,7596.593679627445
81,DE,8753.568339560263
82,XRAY,1439.7701787556698
83,DVN,440.4899568921474
84,D,1622.4544475779578
85,DOV,2377.9622064869686
86,DTE,6224.083411961523
87,DRE,78.82966405033177
88,DUK,1701.340465495376
89,DXC,2230.025568038885
90,EMN,2213.9656288766937
91,ETN,2387.7582326162387
92,ECL,9124.604750107606
93,EIX,1651.8466339945214
94,EA,5894.319452965432
95,EMR,1448.0596293072977
96,ETR,1249.7915698223048
97,EOG,3495.7151498487174
98,EQT,276.2884370702071
99,EFX,7135.273822090739
100,EQR,2025.7862237983184
101,ES,2561.2803453026813
102,EXC,203.2442051875669
103,EXPD,1166.7006841694686
104,XOM,1369.4509932097437
105,FAST,284.3049071191665
106,FRT,9612.884957678016
107,FDX,14655.121081874044
108,FITB,22.95180170229205
